poftéște poftește
dentru dentr
di­vanul divanul
hotă­rârea hotărârea
Par­tenie Partenie
alțiia alția
închi­puirile închipuirile
apucatŭ apucat
Se­raschierului Seraschierului
Vister­nicul Visternicul
Îm­păratul Împăratul
puținu puțin
dusése dusese
mérgeți mergeți
scădére scădere
Mielițschii Mielițschi
tocméște tocmește
căriia căria
îndelungu îndelung
En­glezilor Englezilor
Ștefăneștii Ștefănești
ziditŭ zidit
sârbescu sârbesc
doisprăzéce doisprăzece
Udriiu Udriu
în­vățături învățături
gă­sesc găsesc
mérge merge
pe­trece petrece
Putnii Putni
eiliie eilie
Tanschii Tanschi
ajunsu ajuns
aflatŭ aflat
Camenițschii Camenițschi
descăle­carea descălecarea
orân­duească orânduească
Câtŭ Cât
patrusprăzéce patrusprăzece
fiiului fiului
învăță­turile învățăturile
țiindu țind
însémnatu însemnat
huliia hulia
acopierindu acopierind
aședzat așezat
al­cătuite alcătuite
vre­mele vremele
priieteșugul prieteșugul
țiind țind
zădar­nice zădarnice
semințiia seminția
băr­batului bărbatului
béți beți
sémne semne
Babihumaiulu Babihumaiul
în­toarcerea întoarcerea
Împăratu Împărat
năzuitu năzuit
cu­rat curat
gardinalii gardinali
amân­doi amândoi
bătrânu bătrân
Avgustŭ Avgust
Chiematu Chiemat
sfântulu sfântul
cumnatu cumnat
os­tași ostași
întinsu întins
acestu acest
a­duce aduce
co­năcarilor conăcarilor
Chievschii Chievschi
țerimoniile țerimonile
Tarcvinii Tarcvini
Léșască Leșască
izbândescu izbândesc
strâm­bătate strâmbătate
crăiia crăia
Piasenschii Piasenschi
lipséște lipsește
Ța­rigradului Țarigradului
po­doabă podoabă
ěwëäŕâńęiè ěwëäŕâńęie
tă­găduesc tăgăduesc
râvnindŭ râvnind
ascunsu ascuns
cre­dința credința
dățăscŭ dățăsc
făméia fămeia
tiit tit
făméie fămeie
grecu grec
neastâmpăratu neastâmpărat
avére avere
némișii nemiși
flămându flămând
ves­tească vestească
pritoriiani pritoriani
Dachiia Dachia
Iazlovețschii Iazlovețschi
Găneștii Gănești
Mi­tropoliții Mitropoliți
ascuțitu ascuțit
purcésiră purcesiră
lățitŭ lățit
arzândŭ arzând
patŭ pat
italiian italian
piiele piele
Sigmenii Sigmeni
largu larg
Patriar­hul Patriarhul
Sélim Selim
Albrihtu Albriht
credu cred
destulu destul
tuturorŭ tuturor
mo­șiile moșile
postélnic postelnic
semnu semn
mărturisescu mărturisesc
Vădu Văd
Trebuiéște Trebuiește
îndrep­tează îndreptează
priietinilor prietinilor
pustiiu pustiu
îzbucnéște îzbucnește
pri­mesc primesc
văru văr
Tobacu Tobac
îm­pacă împacă
ospătatu ospătat
Cârstii Cârsti
Căușeii Căușei
gheografiile gheografile
priimescu primesc
Vișnovețschii Vișnovețschi
trebu­ință trebuință
întâm­pină întâmpină
nepriietenii neprietenii
vreunii vreuni
véche veche
pomenitŭ pomenit
împrăștiiați împrăștiați
Belzu Belz
întorcându întorcând
Săpoténi Săpoteni
putérnicului puternicului
dormiia dormia
lépede lepede
moldovénilor moldovenilor
Abazeștii Abazești
cu­getele cugetele
Urecheștii Urechești
molgomozorii molgomozori
pédéstrească pedestrească
aciè acie
grecéște grecește
nevestii nevesti
boierinu boierin
niguțătorescu niguțătoresc
Thessaliia Thessalia
Schitii Schiti
dre­gătoria dregătoria
băgatu băgat
létopisețile letopisețile
birŭ bir
acmu acm
ziciia zicia
da­torie datorie
Arhi­mandrit Arhimandrit
arhie­reului arhiereului
întunéric întuneric
lucratŭ lucrat
Brateșu Brateș
priimiia primiia
frâncescu frâncesc
aștépte aștepte
îndemnatŭ îndemnat
înfrângândŭ înfrângând
Pravoslaviia Pravoslavia
Grețiia Greția
patrierșii patrierși
Matiiașu Matiaș
tăgăduiescu tăgăduiesc
in­trând intrând
prânzu prânz
con­știința conștința
jupânésile jupânesile
arméni armeni
Petrovaradinu Petrovaradin
înlontru înlontr
aflatu aflat
sluj­bile slujbile
plătitu plătit
Dom­nesc Domnesc
ne­cinsti necinsti
piedzii piezi
ianovezii ianovezi
íŕ÷ŕëńňâuțmu íŕ÷ŕëńňâuțm
cre­dință credință
Vizi­rului Vizirului
apropiiatu apropiat
înglotitu înglotit
vântu vânt
obiș­nuesc obișnuesc
pândză pânză
făcutŭ făcut
obiceiŭ obiceiu
amân­două amândouă
arătatu arătat
râmlenéște râmlenește
slujăscu slujăsc
sfătuitu sfătuit
cerșutu cerșut
ță­rii țări
su­flete suflete
Farme­cul Farmecul
scurtu scurt
neléneșu neleneș
ivitu ivit
z­boi zboi
Di­vanului Divanului
sluj­bele slujbele
margi­nile marginile
Sirétiul Siretiul
Dum­nezeu Dumnezeu
Visterni­cului Visternicului
vrémile vremile
Mihnii Mihni
pri­mească primească
jurământu jurământ
privéște privește
ace­lora acelora
gândiia gândia
fugându fugând
Bitiniia Bitinia
văzândŭ văzând
mângâiatu mângâiat
fronsu frons
létopisețul letopisețul
visteriia visteria
Frățiléni Frățileni
Botășanii Botășani
ri­dicându ridicând
mesii mesi
acestŭ acest
Iliiaș Iliaș
neguță­torie neguțătorie
Tarnovschii Tarnovschi
bi­ruind biruind
bucurosu bucuros
pof­torească poftorească
Căiatii Căiati
Maramoroșu Maramoroș
Minunatu Minunat
cerșu cerș
răs­puns răspuns
hiianii hianii
stinsu stins
Arbureștii Arburești
nă­ravuri năravuri
ca­pului capului
săvârșitu săvârșit
Mol­dovean Moldovean
Italii Itali
svétnicilor svetnicilor
despartŭ despart
răspundŭ răspund
grécească grecească
hănii hăni
lăsândŭ lăsând
Sirétiului Siretiului
ochi­lor ochilor
Unguriia Unguria
apére apere
si­lit silit
păscarii păscari
apucatu apucat
trân­dăvirea trândăvirea
altu alt
a­celuia aceluia
câtu cât
piiatră piatră
stolnicu stolnic
așe­zate așezate
ho­tărâre hotărâre
vre­unul vreunul
fe­mei femei
înoirii înoiri
tre­bue trebue
rănitu rănit
puin­du puind
prileju prilej
sicriiul sicriul
tur­cesc turcesc
Franțezii Franțezi
so­coteau socoteau
Brăilii Brăili
milosti­vului milostivului
Ochiianu Ochian
cântăreții cântăreți
purtă­rile purtările
Mileștii Milești
Vi­zirului Vizirului
nevoitu nevoit
céa cea
soco­tește socotește
adul­mecatori adulmecatori
munténi munteni
ceia­lalți ceialalți
Milostivu Milostiv
vădu văd
Barbovschii Barbovschi
zidiia zidia
sfétnicilor sfetnicilor
turcu turc
Biasovschii Biasovschi
Naculeștii Naculești
Nistru Nistr
friptu fript
îm­prumutat împrumutat
çĺěëè çĺěëe
Italiia Italia
maramorășénilor maramorășenilor
maziliia mazilia
Mol­dovenești Moldovenești
lăcuiescu lăcuiesc
țigănéște țigănește
ngrijiia ngrijia
VI­ VI
a­ceste aceste
do­bitocul dobitocul
în­tâmplă întâmplă
stăpâ­nirea stăpânirea
ne­vrednici nevrednici
acmŭ acm
Obicéiu Obiceiu
slujitorescŭ slujitoresc
știindŭ ștind
învârtejitu învârtejit
așăzatu așăzat
apéle apele
pomenitu pomenit
Liviile Livile
conceniia concenia
lovitŭ lovit
Mihălcéni Mihălceni
Sci­ților Sciților
Copițchii Copițchi
Joreștii Jorești
re­comenduește recomenduește
mersése mersese
craiŭ craiu
lu­crurile lucrurile
cestorŭ cestor
cunos­când cunoscând
a­decă adecă
milostivu milostiv
orașŭ oraș
gânditu gândit
brașovénii brașoveni
Lascu Lasc
Preacistii Preacisti
Pliniie Plinie
înștiin­țează înștințează
Țarigradu Țarigrad
răsăritŭ răsărit
­Agasi Agasi
îm­părăției împărăției
nemuritoriŭ nemuritoriu
păr­țile părțile
spurcatŭ spurcat
molténi molteni
dom­nească domnească
tineréțe tinerețe
bulu bul
priieteni prieteni
adunatŭ adunat
teméi temei
biséreca bisereca
sfătuiescu sfătuiesc
miiaze miaze
jilăvéște jilăvește
veniia venia
Burgheleștii Burghelești
Ro­manilor Romanilor
cării cări
numescu numesc
poftorescu poftoresc
întorsu întors
Constan­tin Constantin
zicândŭ zicând
înfrânsése înfrânsese
datoriia datoria
pohtéște pohtește
năvă­litorilor năvălitorilor
pu­tem putem
scri­soarea scrisoarea
Daniil Danil
Rohatinu Rohatin
lipsiia lipsia
râmlenescu râmlenesc
vezirii veziri
célui celui
Maramoroșŭ Maramoroș
Historiie Historie
fiindŭ find
oblicitu oblicit
Acestŭ Acest
omorâtu omorât
urnescŭ urnesc
dom­nia domnia
chel­tuirea cheltuirea
léșii leși
înăl­țărei înălțărei
citéște citește
cu­vinte cuvinte
lipsăscŭ lipsăsc
pribégii pribegi
domnu domn
ca­rele carele
harvații harvați
véde vede
Mitro­politul Mitropolitul
tu­iuri tuiuri
Moldovii Moldovi
Putérnicul Puternicul
Rădăuții Rădăuți
chirhesarii chirhesari
Cadilischierii Cadilischieri
Rareșu Rareș
des­calecă descalecă
Mireștii Mirești
nădéjde nădejde
Moțoceștii Moțocești
Grumădzești Grumăzești
créderea crederea
Crezŭ Crez
cuprindŭ cuprind
priietini prietini
avândŭ având
patriarșii patriarși
létopisețului letopisețului
zicu zic
dațescŭ dațesc
Spă­tarului Spătarului
Dragoșeștii Dragoșești
priietinu prietin
moldovenescŭ moldovenesc
véci veci
părétile păretile
neintrebându neintrebând
încunjuratu încunjurat
gréle grele
țaru țar
Podoliia Podolia
sprinteniie sprintenie
Mateiașu Mateiaș
țerimonii țerimoni
untudelemnŭ untudelemn
vred­nicie vrednicie
priimitu primit
pârcălabu pârcălab
îngroziia îngrozia
cu­nunia cununia
cădzut căzut
tinsu tins
sicriiu sicriu
țiltiberii țiltiberi
potu pot
tainții tainți
italiiani italiani
Panoniia Panonia
po­runca porunca
întréce întrece
vinețiienii vinețienii
porușnicii porușnici
întâm­plare întâmplare
des­copere descopere
nepriietinilor neprietinilor
bete­șugului beteșugului
italianii italiani
Čńďèňŕèňĺ Čńďeňŕeňĺ
acéa acea
așezămân­turi așezământuri
Cérnăuți Cernăuți
féte fete
necoprinsŭ necoprins
avgustu avgust
rusescu rusesc
științi știnți
miiazănoapte miazănoapte
so­cotindu socotind
pohtescu pohtesc
ltaliia ltalia
Hăndii Hăndi
întrându întrând
lovitu lovit
po­runci porunci
în­dreptează îndreptează
Ianoșu Ianoș
alége alege
vitéjii viteji
mâniia mânia
strâmtu strâmt
porun­cilor poruncilor
lăcuiescŭ lăcuiesc
chizmindu chizmind
vécinicŭ vecinic
Prutu Prut
prove­dință provedință
italiianii italianii
ascuțiia ascuția
ca­sei casei
vedérea vederea
cu­getă cugetă
slobozitu slobozit
priimiră primiră
putérnic puternic
fiéștecine fieștecine
orașu oraș
Ghengeștii Ghengești
machidonénilor machidonenilor
dégite degite
pedepséște pedepsește
numescŭ numesc
Tămășeștii Tămășești
Piotru Piotr
șezândŭ șezând
odihnindŭ odihnind
pă­rinții părinți
sabiia sabia
acés aces
ziditu zidit
pré pre
Beslii Besli
Bicazu Bicaz
li­pit lipit
Capi­gi Capigi
întorsŭ întors
vorŭ vor
Rastiia Rastia
cei­lalți ceilalți
Mănăs­tirilor Mănăstirilor
învingă­toare învingătoare
cerce­tează cercetează
méșterșuguri meșterșuguri
cân­tând cântând
Tesaliia Tesalia
Aceștiia Aceștia
Polihronu Polihron
crizacii crizaci
Pos­telnicul Postelnicul
martiru martir
fru­mos frumos
româniia românia
de­cât decât
odihnitu odihnit
ne­dreaptă nedreaptă
légea legea
boie­rești boierești
sultanu sultan
aprinsu aprins
Acestu Acest
îndireptatu îndireptat
Laschii Laschi
fieștecă­ruia fieștecăruia
casii casi
Uréchie Urechie
plecatu plecat
sfin­țitele sfințitele
luptândŭ luptând
neștiind neștind
deprin­dere deprindere
Direptu Dirept
îna­poi înapoi
necu­viință necuvință
domnŭ domn
po­runcă poruncă
tică­loșie ticăloșie
plă­cerea plăcerea
Licaoniia Licaonia
Sinavschii Sinavschi
Ciuhru Ciuhr
Logo­fătul Logofătul
înștiin­țare înștințare
cerimonii cerimoni
bisérică biserică
Fiindŭ Find
sluțiia sluția
Trațiia Trația
po­triveștesă potriveștesă
îndărătu îndărăt
rescum­pără rescumpără
siliia silia
urzitŭ urzit
omoriia omoria
ceriŭ ceriu
blagoslovitu blagoslovit
Cadileschiarii Cadileschiari
obicéiu obiceiu
Eghipetu Eghipet
răzbitu răzbit
dovedindŭ dovedind
ade­veri adeveri
pățitu pățit
frângiia frângia
zidindŭ zidind
niiamul niamul
sloboadză sloboază
vécinică vecinică
stăpâ­nească stăpânească
ase­menea asemenea
scofii scofi
aciiaș aciaș
încunjuratŭ încunjurat
boerii boeri
socotéle socotele
Radu Rad
mu­zicanți muzicanți
râmlénii râmleni
îndem­nându îndemnând
nevinovatii nevinovati
mérse merse
putérea puterea
Odrivozu Odrivoz
Dom­nului Domnului
Prutețu Pruteț
leniia lenia
Fălciilor Fălcilor
tâmplatu tâmplat
nepu­tând neputând
shibénii shibeni
Tatarii Tatari
pornitŭ pornit
Evtropii Evtropi
Ghieții Ghieți
diva­nului divanului
mortŭ mort
pu­teau puteau
creștinescu creștinesc
bè be
ceaușu ceauș
socotitu socotit
a­devăr adevăr
abiia abia
durére durere
curténi curteni
lătinéște lătinește
Molodețu Molodeț
acoperitŭ acoperit
Chiulahliilor Chiulahlilor
păscărescu păscăresc
înhierbântatu înhierbântat
stă­pânire stăpânire
Aflatu Aflat
teméiu temeiu
nepriietin neprietin
cutezatu cutezat
némișu nemiș
Iliiașu Iliaș
pecétea pecetea
însemnezŭ însemnez
féliul feliul
jă­luitorul jăluitorul
céia ceia
Fru­mos Frumos
lu­minat luminat
buzdu­ganul buzduganul
gătéște gătește
doamnii doamni
bu­zele buzele
Sinévschii Sinevschi
adeve­rează adeverează
pre­cum precum
Maelatu Maelat
călcatŭ călcat
acéiaș aceiaș
adusése adusese
aicè aice
po­porul poporul
po­runcește poruncește
Șepteliceștii Șeptelicești
chéme cheme
în­tors întors
vinețiienilor vinețienilor
rămăsése rămăsese
prilejitu prilejit
leatu leat
luân­du luând
fugiia fugia
Dom­nească Domnească
Iedeclii Iedecli
degrabu degrab
protivnici­lor protivnicilor
Daciile Dacile
Doniceștii Donicești
italiianŭ italian
agiunsu agiuns
nea­muri neamuri
vistie­riea vistieriea
curățiia curăția
slăvéște slăvește
lăsămŭ lăsăm
bohemii bohemi
obicéiurile obiceiurile
osmanidu osmanid
Catargieștii Catargiești
strejii streji
céle cele
Moldo­vean Moldovean
anu an
pământu­lui pământului
Olbrihtu Olbriht
Négre Negre
iscusénii iscuseni
vădzu văz
troadéni troadeni
scriitoriu scritoriu
poméni pomeni
amăgitu amăgit
grijindu grijind
neajunsŭ neajuns
Féliul Feliul
Crupențscheștii Crupențschești
po­runcească poruncească
iunii iuni
numărŭ număr
flămânzitu flămânzit
prepuindu prepuind
neade­vărate neadevărate
turcescu turcesc
latinéște latinește
ĺäèíî ĺäeíî
scădérea scăderea
célea celea
junghiia junghia
bi­serica biserica
Râmŭ Râm
coprindiia coprindia
lipsitŭ lipsit
în­tărit întărit
Galațienii Galațieni
vistieriia vistieria
armândŭ armând
lémnelor lemnelor
intrebatu intrebat
Calabriia Calabria
nu­mărul numărul
tă­cere tăcere
su­pusă supusă
dzăli zăli
tiparnicii tiparnici
locŭ loc
fétii feti
lăcuitu lăcuit
méșterșug meșterșug
deliia delia
priimească primească
Odriiului Odriului
Paladeștii Paladești
pri­cepere pricepere
fecio­riei fecioriei
Viiotia Viotia
schitii schiti
snopiia snopia
prinsu prins
pământŭ pământ
băr­băție bărbăție
leșăscu leșăsc
apropiiareți apropiareți
chiematu chiemat
tri­mete trimete
Cotnarii Cotnari
dogânditu dogândit
Theodoziia Theodozia
ghiurgii ghiurgi
ni­menea nimenea
Iățindu Iățind
suptŭ supt
Armeniile Armenile
lége lege
vicléni vicleni
demultu demult
da­ruri daruri
moldovéni moldoveni
îm­pedecat împedecat
deo­sebit deosebit
Pâr­călabi Pârcălabi
că­mărașul cămărașul
celŭ cel
de­părtișor depărtișor
pornitu pornit
lorŭ lor
pământu pământ
Doneștii Donești
je­luirii jeluiri
rân­dueală rândueală
cumplitu cumplit
adunatu adunat
Arhiman­dritul Arhimandritul
oarecându oarecând
Chiriaceștii Chiriacești
Pâr­călabii Pârcălabi
întăriia întăria
neputinții neputinți
Deciia Decia
îmblânziia îmblânzia
Vor­nicului Vornicului
bolnavu bolnav
Domentiian Domentian
Împărățiia Împărăția
plinu plin
câți­va câțiva
coprinsése coprinsese
domnișoru domnișor
îm­bracă îmbracă
Brescu Bresc
Ciogoleștii Ciogolești
ară­tând arătând
acoperiè acoperie
nici­odată niciodată
cuvântu cuvânt
Dom­niei Domniei
moldové moldove
oas­peților oaspeților
Ciolpanu Ciolpan
zécilea zecilea
coprinsu coprins
sații sați
simănatu simănat
tragŭ trag
tréce trece
urzitoriŭ urzitoriu
asupréle asuprele
Vis­teriei Visteriei
zâcându zâcând
spieriiat spieriat
vrăjmășiia vrăjmășia
naș­terea nașterea
silitu silit
pier­dut pierdut
împodo­bită împodobită
socotiia socotia
asémene asemene
Istriia Istria
Novii Novi
zidu zid
turcitu turcit
créde crede
Coronii Coroni
Venglinschii Venglinschi
Mircii Mirci
urmă­torul următorul
lățéște lățește
Pia­zițius Piazițius
trăgănatu trăgănat
lceagalerii lceagaleri
amiiazăzi amiazăzi
poves­tind povestind
neméstnic nemestnic
ase­menează asemenează
dintăiŭ dintăiu
sa­hastri sahastri
Bantoșeștii Bantoșești
Buorenii Buoreni
acopieritu acopierit
Altŭ Alt
ficléni ficleni
moldovenescu moldovenesc
lo­cuesc locuesc
vețschii vețschi
eriticii eritici
zicŭ zic
os­tașii ostași
megiiașii megiașii
Preacuratii Preacurati
cădiia cădia
moșu moș
aju­tor ajutor
Pisoscheștii Pisoschești
Țibăneștii Țibănești
pli­nesc plinesc
dispotu dispot
bătândŭ bătând
vitejăscu vitejăsc
povestitu povestit
méle mele
viiața viața
prostu prost
vino­vată vinovată
întracéia întraceia
ruséște rusește
pri­cinuit pricinuit
auziia auzia
mărtoriia mărtoria
discălicatŭ discălicat
dé de
a­șează așează
mirodeniia mirodenia
lipsitu lipsit
întâm­plându întâmplând
țiitoriul țitoriul
pe­treacă petreacă
fămée fămee
fra­tele fratele
geneologiile geneologile
însemnatu însemnat
loru lor
ple­cați plecați
fiéștece fieștece
Capuchihaie­lele Capuchihaielele
véstea vestea
Maramorășŭ Maramorăș
obicéiuri obiceiuri
curățitu curățit
léfe lefe
vrăjma­șilor vrăjmașilor
Suceviții Suceviți
Némții Nemți
slăbitu slăbit
trimisu trimis
scăpatu scăpat
hereghiia hereghia
oa­menii oameni
asu­pra asupra
pristăniia pristănia
falanxŭ falanx
creștinu creștin
blându blând
ve­dere vedere
ajutorindu ajutorind
închină­ciune închinăciune
deplinu deplin
Durăceștii Durăcești
nemernicu nemernic
lăsatu lăsat
demultŭ demult
Targovețschii Targovețschi
priiteșugul priteșugul
judéțile județile
ibării ibări
sin­gur singur
ru­deniile rudenile
Moldo­venii Moldoveni
îndrăznețu îndrăzneț
Capu­chihaia Capuchihaia
voitoriŭ voitoriu
făciia făcia
ajutoriŭ ajutoriu
Dom­nilor Domnilor
învoindu învoind
încinsu încins
lip­sească lipsească
împărătescu împărătesc
Olimbiia Olimbia
grabu grab
su­părat supărat
Schiiei Schiei
Dioclitiian Dioclitian
ardeléni ardeleni
râmlénilor râmlenilor
Sirét Siret
săténi săteni
tu­nurile tunurile
ve­derat vederat
iu­bitor iubitor
culoglŭ culogl
ves­tea vestea
dântru dântr
nepotu nepot
unguréști ungurești
Cozminu Cozmin
stri­cându stricând
Baezitu Baezit
Rodéște Rodește
hanu han
bucă­tarului bucătarului
orheienii orheieni
unguréște ungurește
suptu supt
Fălcenii Fălceni
pristănitu pristănit
moșiia moșia
somnu somn
védére vedere
zălojindu zălojind
cosahiianii cosahianii
oblă­duitorilor oblăduitorilor
rusii rusi
stă­pânului stăpânului
rădicatu rădicat
Hăbășeștii Hăbășești
Lusitaniia Lusitania
troadenii troadeni
vârtejitu vârtejit
supăratu supărat
lucratu lucrat
dvoréște dvorește
pârjolitu pârjolit
țe­rimonie țerimonie
datu dat
truditu trudit
Segbanii Segbani
legatŭ legat
baschirdarii baschirdari
vrândŭ vrând
Ficioarii Ficioari
Vi­zirul Vizirul
nemțéște nemțește
zatocenii zatoceni
Pilețchii Pilețchi
aceiiaș aceiaș
tă­gădui tăgădui
fusésă fusesă
trăiescŭ trăiesc
Odriiul Odriul
Patriar­hiei Patriarhiei
încurcatu încurcat
presémne presemne
sluji­torii slujitori
Heraclu Heracl
înăl­țatul înălțatul
lunecatŭ lunecat
Indiia India
Zamovschii Zamovschi
putiia putia
su­mei sumei
hotă­răște hotărăște
măriia măria
în­greuiat îngreuiat
strânsu strâns
asu­prași asuprași
judéților judeților
astinhaveanii astinhaveani
Nesvoiovschii Nesvoiovschi
sa­mănă samănă
Romaniia Romania
bine­cuvântat binecuvântat
Cărăbățu Cărăbăț
moldove­nească moldovenească
împrăș­tieți împrăștieți
sémnele semnele
altŭ alt
Buciațschii Buciațschi
trăgănatŭ trăgănat
fiiul fiul
historicŭ historic
cerchiezii cerchiezi
Dii Di
turciloru turcilor
închiiat închiat
Aicé Aice
în­ceput început
Aicè Aice
Dom­nul Domnul
moldovénii moldoveni
Vasilicu Vasilic
hri­sovul hrisovul
știia știa
Benderu Bender
Dra­goș Dragoș
topitu topit
mărgu mărg
amă­gesc amăgesc
niguțătorii niguțători
grăiescu grăiesc
Șchéi Șchei
Vlahiia Vlahia
Jiiului Jiului
sâr­guinții sârguinți
luundu luund
domnéște domnește
poruncitoriŭ poruncitoriu
însemnatŭ însemnat
viiață viață
Dra­gomanii Dragomani
avusése avusese
Machidoniia Machidonia
așezatu așezat
hotărăscu hotărăsc
postélnicul postelnicul
Véveriță Veveriță
putére putere
Crâmŭ Crâm
discălicatu discălicat
vedére vedere
descălecândŭ descălecând
poroncéște poroncește
în­științat înștințat
slabu slab
sémnile semnile
déciia decia
fusése fusese
hiroto­niei hirotoniei
dintracéste dintraceste
létopiseț letopiseț
Smilu Smil
Pătru Pătr
Slatinii Slatini
curundu curund
flămânzescu flămânzesc
Dom­nii Domni
păs­torii păstori
Paharniceii Paharnicei
Alexandru Alexandr
Alpii Alpi
obi­ceiu obiceiu
striinilor strinilor
istețu isteț
coprindu coprind
Chihaia­lele Chihaialele
sasii sasi
ță­rani țărani
groaznicu groaznic
Chi­haea Chihaea
ispitiia ispitia
blândŭ blând
rămâindu rămâind
Dom­nie Domnie
încălăratu încălărat
șestacii șestaci
biia bia
Ro­man Roman
Dom­nia Domnia
săriia săria
sositŭ sosit
suferiia suferia
Hușu Huș
tirăniia tirănia
zavistiia zavistia
clirono­mului clironomului
mortu mort
Huru Hur
Verbiia Verbia
nemérnici nemernici
primiia primia
vitéjilor vitejilor
Ar­hiepiscopul Arhiepiscopul
curtezenii curtezeni
sfărămându sfărămând
Mol­doveni Moldoveni
petrecănii petrecăni
îngă­duește îngăduește
Taifalii Taifali
vitejéști vitejești
Uréche Ureche
băjăniile băjănile
scau­nului scaunului
cercândŭ cercând
vitejéște vitejește
Balșeștii Balșești
Chi­haielele Chihaielele
trăiescu trăiesc
Flo­renția Florenția
trâm­bițe trâmbițe
ienicéri ieniceri
hatmanulcu hatmanulc
to­tuși totuși
cestu cest
aciiași aciași
blândéțe blândețe
dăpărtatu dăpărtat
iubiia iubia
cnézii cnezi
celei­lalte celeilalte
Muntenéști Muntenești
Focșanii Focșani
Barnoschii Barnoschi
harțu harț
istoriia istoria
sfân­tului sfântului
célelalte celelalte
împresuratu împresurat
ră­sadniță răsadniță
déderă dederă
gioséni gioseni
Theoctistu Theoctist
Sfirciovschii Sfirciovschi
înoptatu înoptat
timpinându timpinând
munténilor muntenilor
mă­sura măsura
Zicu Zic
încetatu încetat
striine strine
vre­unei vreunei
năvăléște năvălește
Schitiia Schitia
învrednicindu învrednicind
Capu­chihaea Capuchihaea
sfétnicii sfetnici
cunoscân­du cunoscând
părtenéște părtenește
amŭ am
viclénii vicleni
Hăndiia Hăndia
apă­rare apărare
négre negre
strânsŭ strâns
Fecioarii Fecioari
sangeagii sangeagi
moldovenéște moldovenește
socotéște socotește
raventu ravent
ferescŭ feresc
șezutu șezut
co­răbiile corăbile
Crăiia Crăia
Chi­haia Chihaia
Ieremiia Ieremia
spieriiatu spieriat
în­groape îngroape
anŭ an
Săverii Săveri
sŭ su
dăscăliia dăscălia
hrănescu hrănesc
Mun­teanul Munteanul
viteazu viteaz
milos­tenii milosteni
armatu armat
ră­săritului răsăritului
biséricile bisericile
bise­rica biserica
în­drepteze îndrepteze
Stiriia Stiria
Sțitiia Sțitia
largŭ larg
vădzindu văzind
pohtitu pohtit
Vinețiia Vineția
Răusénii Răuseni
Capu Cap
smintitu smintit
rășchiratu rășchirat
Dra­cul Dracul
Micleștii Miclești
următoriŭ următoriu
râdiia râdia
mărgŭ mărg
Medelnicériu Medelniceriu
neamțu neamț
aciia acia
Hesperiia Hesperia
mor­ții morți
crăiasii crăiasi
Aréni Areni
mi­reasa mireasa
deprindzindu deprinzind
așezatŭ așezat
noaosprăzéce noaosprăzece
grijindŭ grijind
pusu pus
a­ceștia aceștia
adâncŭ adânc
Ropceneștii Ropcenești
Buhușeștii Buhușești
locu loc
acéștea aceștea
șanțŭ șanț
diiavolului diavolului
Slijiia Slijia
Sarni­țius Sarnițius
Pocutiia Pocutia
Siraschii Siraschi
Citéște Citește
dezmierdatŭ dezmierdat
